"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","Gate length (ns)","RZZ error","MEASURE error","MEASURE_2 error","Operational","CZ error"
"0","232.08678230325094","272.87907936480235","0.037109375","0.068359375","0.005859375","2280","0.00031502856210045214","32","0.00031502856210045214","0","0.00031502856210045214","0.00031502856210045214","1:68","1:0.0016102498121678133","0.037109375","0.02001953125","Yes",""
"1","313.28482998941905","417.27336121694225","0.35400390625","0.1474609375","0.560546875","2280","0.00046737684785815665","32","0.00046737684785815665","0","0.00046737684785815665","0.00046737684785815665","2:68;0:68","2:0.0017524946820416942;0:0.0016102498121678133","0.35400390625","0.295166015625","Yes","2:0.00103103376597255"
"2","296.2497035706642","112.5282873780257","0.018310546875","0.01904296875","0.017578125","2280","0.00016968257887097678","32","0.00016968257887097678","0","0.00016968257887097678","0.00016968257887097678","1:68;3:68","1:0.0017524946820416942;3:0.001011924812399173","0.018310546875","0.031494140625","Yes","1:0.00103103376597255;3:0.01154797409106978"
"3","251.35842733514673","289.3650594180292","0.013916015625","0.0185546875","0.00927734375","2280","0.000245988352447648","32","0.000245988352447648","0","0.000245988352447648","0.000245988352447648","16:68;2:68;4:68","16:0.001162893236157092;2:0.001011924812399173;4:0.0030886953460090016","0.013916015625","0.009521484375","Yes","16:0.0009926965461712622;2:0.01154797409106978;4:0.0026341225141209845"
"4","103.49997848154153","47.171024125295844","0.05712890625","0.0390625","0.0751953125","2280","0.00036347262723489634","32","0.00036347262723489634","0","0.00036347262723489634","0.00036347262723489634","3:68;5:68","3:0.0030886953460090016;5:0.0032603725712413156","0.05712890625","0.090087890625","Yes","3:0.0026341225141209845;5:0.008173313979312868"
"5","229.32852232956898","69.97045020401568","0.019775390625","0.02294921875","0.0166015625","2280","0.00038403198587358607","32","0.00038403198587358607","0","0.00038403198587358607","0.00038403198587358607","6:68;4:68","6:0.005088589495365864;4:0.0032603725712413156","0.019775390625","0.015625","Yes","6:0.0032163712097957875;4:0.008173313979312868"
"6","227.00772433213447","93.77558171717746","0.03564453125","0.04248046875","0.02880859375","2280","0.0002475234671253939","32","0.0002475234671253939","0","0.0002475234671253939","0.0002475234671253939","5:68;7:80","5:0.005088589495365864;7:0.013108800650488084","0.03564453125","0.026123046875","Yes","5:0.0032163712097957875;7:0.006985299204809475"
"7","363.6080239131265","78.80556080076289","0.039794921875","0.0302734375","0.04931640625","2280","0.00024698362237558476","32","0.00024698362237558476","0","0.00024698362237558476","0.00024698362237558476","17:68;6:80;8:68","17:0.0044242491523175664;6:0.013108800650488084;8:0.004361381207278803","0.039794921875","0.03662109375","Yes","17:0.007412428031958657;6:0.006985299204809475;8:0.007179655882806002"
"8","232.00733828675197","74.56901722114577","0.00830078125","0.01318359375","0.00341796875","2280","0.00027730743348184733","32","0.00027730743348184733","0","0.00027730743348184733","0.00027730743348184733","9:68;7:68","9:0.0019850282905012895;7:0.004361381207278803","0.00830078125","0.00537109375","Yes","9:0.0032069143030215297;7:0.007179655882806002"
"9","141.1202185720144","41.97539398588126","0.01025390625","0.01318359375","0.00732421875","2280","0.0004882033157428597","32","0.0004882033157428597","0","0.0004882033157428597","0.0004882033157428597","8:68;10:68","8:0.0019850282905012895;10:0.004474025278951216","0.01025390625","0.010986328125","Yes","8:0.0032069143030215297;10:0.005442482370810242"
"10","185.97170995803893","17.336226693422052","0.017578125","0.01904296875","0.01611328125","2280","0.0002561773769138258","32","0.0002561773769138258","0","0.0002561773769138258","0.0002561773769138258","9:68;11:68","9:0.004474025278951216;11:0.0015463866737094045","0.017578125","0.0107421875","Yes","9:0.005442482370810242;11:0.0012350682931491497"
"11","408.88061692660204","82.65580822766444","0.037109375","0.02490234375","0.04931640625","2280","0.00018120172258176775","32","0.00018120172258176775","0","0.00018120172258176775","0.00018120172258176775","18:68;10:68;12:68","18:0.0017407402398521565;10:0.0015463866737094045;12:0.0012592366591200888","0.037109375","0.02587890625","Yes","18:0.001600742394922694;10:0.0012350682931491497;12:0.0011315581835382726"
"12","283.19763052271884","299.61532009558465","0.021240234375","0.02685546875","0.015625","2280","0.0002446173712820762","32","0.0002446173712820762","0","0.0002446173712820762","0.0002446173712820762","13:68;11:68","13:0.001425746926393745;11:0.0012592366591200888","0.021240234375","0.02880859375","Yes","13:0.003416850253288556;11:0.0011315581835382726"
"13","269.9118963998861","408.60258654285445","0.00634765625","0.0087890625","0.00390625","2280","0.0002574095090666698","32","0.0002574095090666698","0","0.0002574095090666698","0.0002574095090666698","12:68;14:68","12:0.001425746926393745;14:0.0014749848826713652","0.00634765625","0.005859375","Yes","12:0.003416850253288556;14:0.00097527837454639"
"14","137.42569742322792","194.2368778549981","0.013916015625","0.015625","0.01220703125","2280","0.0001547845661086138","32","0.0001547845661086138","0","0.0001547845661086138","0.0001547845661086138","15:68;13:68","15:0.0018045402327884486;13:0.0014749848826713652","0.013916015625","0.009521484375","Yes","15:0.0022140770836232837;13:0.00097527837454639"
"15","231.65018618430292","257.7802482314537","0.009521484375","0.01171875","0.00732421875","2280","0.00010607533315794527","32","0.00010607533315794527","0","0.00010607533315794527","0.00010607533315794527","14:68;19:68","14:0.0018045402327884486;19:0.0016709558181861317","0.009521484375","0.005859375","Yes","14:0.0022140770836232837;19:0.0012590972882354223"
"16","327.8223296806368","299.2156417535303","0.03369140625","0.04345703125","0.02392578125","2280","0.00012635793829282154","32","0.00012635793829282154","0","0.00012635793829282154","0.00012635793829282154","23:68;3:68","23:0.0012474375130553106;3:0.001162893236157092","0.03369140625","0.140625","Yes","23:0.0014292182518469143;3:0.0009926965461712622"
"17","50.38452362555955","65.98221515809838","0.02294921875","0.021484375","0.0244140625","2280","0.0003535316419445342","32","0.0003535316419445342","0","0.0003535316419445342","0.0003535316419445342","7:68;27:68","7:0.0044242491523175664;27:0.0021756866848725576","0.02294921875","0.02880859375","Yes","7:0.007412428031958657;27:0.0024595039135786034"
"18","132.61656230295415","35.538626210488985","0.0166015625","0.02734375","0.005859375","2280","0.0006050342456384501","32","0.0006050342456384501","0","0.0006050342456384501","0.0006050342456384501","11:68;31:68","11:0.0017407402398521565;31:0.002410560607507717","0.0166015625","0.0029296875","Yes","11:0.001600742394922694;31:0.003608943473356996"
"19","166.80420497339082","165.90436848346698","0.024169921875","0.0234375","0.02490234375","2280","0.0001160012242647127","32","0.0001160012242647127","0","0.0001160012242647127","0.0001160012242647127","35:68;15:68","35:0.002061050354476762;15:0.0016709558181861317","0.024169921875","0.019287109375","Yes","35:0.0015664597504068956;15:0.0012590972882354223"
"20","179.22848863300646","22.01627786618949","0.01611328125","0.0205078125","0.01171875","2280","0.00026454435460492915","32","0.00026454435460492915","0","0.00026454435460492915","0.00026454435460492915","21:68","21:0.0020013884218580136","0.01611328125","0.008056640625","Yes","21:0.002910406102726776"
"21","237.4251800257558","263.83129284253687","0.020263671875","0.0234375","0.01708984375","2280","0.00024288169579821578","32","0.00024288169579821578","0","0.00024288169579821578","0.00024288169579821578","36:68;20:68;22:68","36:0.0017765326577212914;20:0.0020013884218580136;22:0.005698126491694627","0.020263671875","0.013916015625","Yes","36:0.0012916706517875354;20:0.002910406102726776;22:0.0010361037714084753"
"22","240.32712612852694","131.93682129819","0.04296875","0.03759765625","0.04833984375","2280","0.0002018973868195904","32","0.0002018973868195904","0","0.0002018973868195904","0.0002018973868195904","23:68;21:68","23:0.004341211226550262;21:0.005698126491694627","0.04296875","0.036376953125","Yes","23:0.0013304452354388208;21:0.0010361037714084753"
"23","121.45050139826272","41.36865657056351","0.039794921875","0.02392578125","0.0556640625","2280","0.00013633172463290254","32","0.00013633172463290254","0","0.00013633172463290254","0.00013633172463290254","22:68;24:68;16:68","22:0.004341211226550262;24:0.001578110097744917;16:0.0012474375130553106","0.039794921875","0.052001953125","Yes","22:0.0013304452354388208;24:0.0016344899606869356;16:0.0014292182518469143"
"24","305.574505517522","53.304574060533206","0.033447265625","0.02783203125","0.0390625","2280","0.00041934697834362244","32","0.00041934697834362244","0","0.00041934697834362244","0.00041934697834362244","23:68;25:68","23:0.001578110097744917;25:0.0053006383703891324","0.033447265625","0.035400390625","Yes","23:0.0016344899606869356;25:0.007087636339350362"
"25","217.60984330909744","23.121370290826295","0.014404296875","0.0146484375","0.01416015625","2280","0.0003112427954376496","32","0.0003112427954376496","0","0.0003112427954376496","0.0003112427954376496","24:68;26:68;37:68","24:0.0053006383703891324;26:0.004487605422936386;37:0.005801668236756513","0.014404296875","0.016845703125","Yes","24:0.007087636339350362;26:0.003588837057179828;37:0.003699424370635168"
"26","256.2241190022083","136.17606875857757","0.01904296875","0.01708984375","0.02099609375","2280","0.00016409997559091577","32","0.00016409997559091577","0","0.00016409997559091577","0.00016409997559091577","25:68;27:68","25:0.004487605422936386;27:0.0016040379369529623","0.01904296875","0.027587890625","Yes","25:0.003588837057179828;27:0.0019493474752431406"
"27","210.3942628717786","65.779040380653","0.033447265625","0.0283203125","0.03857421875","2280","0.00019429608862306253","32","0.00019429608862306253","0","0.00019429608862306253","0.00019429608862306253","26:68;28:68;17:68","26:0.0016040379369529623;28:0.001063011949128223;17:0.0021756866848725576","0.033447265625","0.048828125","Yes","26:0.0019493474752431406;28:0.0013883748945593966;17:0.0024595039135786034"
"28","190.8102148546056","301.77058610477565","0.009033203125","0.01416015625","0.00390625","2280","0.0001838151309610672","32","0.0001838151309610672","0","0.0001838151309610672","0.0001838151309610672","27:68;29:68","27:0.001063011949128223;29:0.0019397527748104826","0.009033203125","0.00830078125","Yes","27:0.0013883748945593966;29:0.0031583771013727335"
"29","167.33702799497806","73.58308592198269","0.0166015625","0.01953125","0.013671875","2280","0.00021977135057671187","32","0.00021977135057671187","0","0.00021977135057671187","0.00021977135057671187","38:68;28:68;30:80","38:0.004065593717030774;28:0.0019397527748104826;30:0.001552994788187767","0.0166015625","0.013427734375","Yes","38:0.010125763460372056;28:0.0031583771013727335;30:0.0013948988400690476"
"30","149.72489213207123","41.996050511728825","0.031005859375","0.0263671875","0.03564453125","2280","0.0002281412642337056","32","0.0002281412642337056","0","0.0002281412642337056","0.0002281412642337056","31:68;29:80","31:0.0022711964680572627;29:0.001552994788187767","0.031005859375","0.0224609375","Yes","31:0.002313612493704653;29:0.0013948988400690476"
"31","180.36780563110474","202.93393573404745","0.06005859375","0.1103515625","0.009765625","2280","0.00022975829538938043","32","0.00022975829538938043","0","0.00022975829538938043","0.00022975829538938043","30:68;32:68;18:68","30:0.0022711964680572627;32:0.0022824387555716863;18:0.002410560607507717","0.06005859375","0.19140625","Yes","30:0.002313612493704653;32:0.0031050139241580177;18:0.003608943473356996"
"32","260.2398143732371","335.55584588972073","0.01953125","0.01904296875","0.02001953125","2280","0.00025121701696085983","32","0.00025121701696085983","0","0.00025121701696085983","0.00025121701696085983","31:68;33:68","31:0.0022824387555716863;33:0.0018018700453467096","0.01953125","0.010498046875","Yes","31:0.0031050139241580177;33:0.004540321022337729"
"33","224.12471510371807","316.6767463674527","0.017578125","0.0185546875","0.0166015625","2280","0.00015131731965631838","32","0.00015131731965631838","0","0.00015131731965631838","0.00015131731965631838","39:68;32:68;34:108","39:0.0014622401117394268;32:0.0018018700453467096;34:0.004338888292122783","0.017578125","0.01123046875","Yes","39:0.0023917260207208524;32:0.004540321022337729;34:0.002601366082234796"
"34","322.26277451830947","273.14121837884966","0.030517578125","0.037109375","0.02392578125","2280","0.0002841135024519781","32","0.0002841135024519781","0","0.0002841135024519781","0.0002841135024519781","33:108;35:68","33:0.004338888292122783;35:0.0028227825087921155","0.030517578125","0.0224609375","Yes","33:0.002601366082234796;35:0.0017609122162890456"
"35","131.1897922341972","91.85561636480311","0.078125","0.1435546875","0.0126953125","2280","0.00012152743133583897","32","0.00012152743133583897","0","0.00012152743133583897","0.00012152743133583897","19:68;34:68","19:0.002061050354476762;34:0.0028227825087921155","0.078125","0.03271484375","Yes","19:0.0015664597504068956;34:0.0017609122162890456"
"36","328.5796755317954","179.27483204402566","0.039306640625","0.033203125","0.04541015625","2280","0.00016190891101260823","32","0.00016190891101260823","0","0.00016190891101260823","0.00016190891101260823","41:68;21:68","41:0.0017998077514457256;21:0.0017765326577212914","0.039306640625","0.029296875","Yes","41:0.0022200003156623016;21:0.0012916706517875354"
"37","200.15830848273427","25.49448698953144","0.018310546875","0.0205078125","0.01611328125","2280","0.0003381760129729159","32","0.0003381760129729159","0","0.0003381760129729159","0.0003381760129729159","45:68;25:68","45:0.0016401490485100367;25:0.005801668236756513","0.018310546875","0.010498046875","Yes","45:0.0027255738953073094;25:0.003699424370635168"
"38","103.3067998403411","47.54759559895303","0.013427734375","0.02392578125","0.0029296875","2280","0.00024175259355429211","32","0.00024175259355429211","0","0.00024175259355429211","0.00024175259355429211","29:68;49:68","29:0.004065593717030774;49:0.0013992951111591323","0.013427734375","0.0068359375","Yes","29:0.010125763460372056;49:0.0014293635090274481"
"39","118.82678983006464","93.24591181975346","0.031982421875","0.02783203125","0.0361328125","2280","0.00023093761613356364","32","0.00023093761613356364","0","0.00023093761613356364","0.00023093761613356364","53:68;33:68","53:0.00111257986615515;33:0.0014622401117394268","0.031982421875","0.030517578125","Yes","53:0.0017168058959352028;33:0.0023917260207208524"
"40","228.69129460055518","55.66036930205881","0.079345703125","0.05224609375","0.1064453125","2280","0.0002977431203539601","32","0.0002977431203539601","0","0.0002977431203539601","0.0002977431203539601","41:68","41:0.002366713030549583","0.079345703125","0.08154296875","Yes","41:0.002513770962070977"
"41","212.40643406097152","40.42399599854844","0.032958984375","0.04638671875","0.01953125","2280","0.0003024843085972235","32","0.0003024843085972235","0","0.0003024843085972235","0.0003024843085972235","40:68;42:68;36:68","40:0.002366713030549583;42:0.0020865393417822953;36:0.0017998077514457256","0.032958984375","0.02685546875","Yes","40:0.002513770962070977;42:0.00216458211208001;36:0.0022200003156623016"
"42","316.77007315486287","106.06990815620858","0.017578125","0.0185546875","0.0166015625","2280","0.00030293427701619545","32","0.00030293427701619545","0","0.00030293427701619545","0.00030293427701619545","41:68;43:68","41:0.0020865393417822953;43:0.003487109501184499","0.017578125","0.010498046875","Yes","41:0.00216458211208001;43:0.005356768776724197"
"43","190.50953762651358","32.371198495728876","0.033935546875","0.0322265625","0.03564453125","2280","0.00046409162716081566","32","0.00046409162716081566","0","0.00046409162716081566","0.00046409162716081566","42:68;56:68;44:68","42:0.003487109501184499;56:0.0036110749839987355;44:0.0044784304061822044","0.033935546875","0.0234375","Yes","42:0.005356768776724197;56:0.003956360858026947;44:0.005947723560101842"
"44","163.43487242221752","212.4003703431433","0.0107421875","0.01123046875","0.01025390625","2280","0.000197571525498884","32","0.000197571525498884","0","0.000197571525498884","0.000197571525498884","45:68;43:68","45:0.0017671187947064237;43:0.0044784304061822044","0.0107421875","0.005126953125","Yes","45:0.0019367514640406536;43:0.005947723560101842"
"45","263.6053417958701","167.52587086568167","0.009033203125","0.01123046875","0.0068359375","2280","0.0005829575819305643","32","0.0005829575819305643","0","0.0005829575819305643","0.0005829575819305643","44:68;46:68;37:68","44:0.0017671187947064237;46:0.00151883100329811;37:0.0016401490485100367","0.009033203125","0.006103515625","Yes","44:0.0019367514640406536;46:0.0021372523280663858;37:0.0027255738953073094"
"46","96.40306278230604","95.85909736041842","0.01513671875","0.017578125","0.0126953125","2280","0.0003023544938653852","32","0.0003023544938653852","0","0.0003023544938653852","0.0003023544938653852","45:68;47:68","45:0.00151883100329811;47:0.001657762606226132","0.01513671875","0.009033203125","Yes","45:0.0021372523280663858;47:0.003202501652165901"
"47","298.0618551857204","218.0453923731485","0.04931640625","0.033203125","0.0654296875","2280","0.00020814146699759845","32","0.00020814146699759845","0","0.00020814146699759845","0.00020814146699759845","48:68;57:68;46:68","48:0.005037784539437207;57:0.0019397252518449093;46:0.001657762606226132","0.04931640625","0.027099609375","Yes","48:0.006265918253856861;57:0.003138460982524627;46:0.003202501652165901"
"48","102.82727874960686","18.891171056877567","0.01806640625","0.0224609375","0.013671875","2280","0.000214782708564899","32","0.000214782708564899","0","0.000214782708564899","0.000214782708564899","47:68;49:68","47:0.005037784539437207;49:0.0018169189481959946","0.01806640625","0.01904296875","Yes","47:0.006265918253856861;49:0.0017219037222711842"
"49","92.43149811966227","59.184180816662625","0.048583984375","0.041015625","0.05615234375","2280","0.00022759282072337025","32","0.00022759282072337025","0","0.00022759282072337025","0.00022759282072337025","48:68;50:68;38:68","48:0.0018169189481959946;50:0.0015412027113904936;38:0.0013992951111591323","0.048583984375","0.04248046875","Yes","48:0.0017219037222711842;50:0.001651390456599594;38:0.0014293635090274481"
"50","202.05494003703265","223.64861659994972","0.011474609375","0.01318359375","0.009765625","2280","0.0002054751962980261","32","0.0002054751962980261","0","0.0002054751962980261","0.0002054751962980261","49:68;51:68","49:0.0015412027113904936;51:0.0014585978384521192","0.011474609375","0.01220703125","Yes","49:0.001651390456599594;51:0.0016184974315447964"
"51","223.6612170287128","232.23206279773146","0.0400390625","0.0400390625","0.0400390625","2280","0.00011737206182797957","32","0.00011737206182797957","0","0.00011737206182797957","0.00011737206182797957","50:68;52:68;58:68","50:0.0014585978384521192;52:0.0027011330936541067;58:0.0013783679875288002","0.0400390625","0.0302734375","Yes","50:0.0016184974315447964;52:0.002826567237131844;58:0.002154961490771573"
"52","226.82303918680424","53.60439659269601","0.0654296875","0.04833984375","0.08251953125","2280","0.0003955890324922556","32","0.0003955890324922556","0","0.0003955890324922556","0.0003955890324922556","51:68;53:68","51:0.0027011330936541067;53:0.005099414736884883","0.0654296875","0.083740234375","Yes","51:0.002826567237131844;53:0.0024541006920319186"
"53","472.0298290427377","103.11078956418349","0.009765625","0.01123046875","0.00830078125","2280","0.00016057166571458736","32","0.00016057166571458736","0","0.00016057166571458736","0.00016057166571458736","39:68;52:68;54:68","39:0.00111257986615515;52:0.005099414736884883;54:0.00114148974427275","0.009765625","0.003662109375","Yes","39:0.0017168058959352028;52:0.0024541006920319186;54:0.0010488550211358305"
"54","139.4421334131942","122.90954679282257","0.037353515625","0.05712890625","0.017578125","2280","0.00021830103759438974","32","0.00021830103759438974","0","0.00021830103759438974","0.00021830103759438974","53:68;55:68","53:0.00114148974427275;55:0.0021611590359163213","0.037353515625","0.07177734375","Yes","53:0.0010488550211358305;55:0.00439159535924899"
"55","150.19578458239872","76.17291015017584","0.02001953125","0.01611328125","0.02392578125","2280","0.00020495714692270672","32","0.00020495714692270672","0","0.00020495714692270672","0.00020495714692270672","59:68;54:68","59:0.00585708038045854;54:0.0021611590359163213","0.02001953125","0.02099609375","Yes","59:0.0022360900213204415;54:0.00439159535924899"
"56","255.7707620754474","47.23214899681074","0.091064453125","0.076171875","0.10595703125","2280","0.0002906084554721138","32","0.0002906084554721138","0","0.0002906084554721138","0.0002906084554721138","63:68;43:68","63:0.002398964661388142;43:0.0036110749839987355","0.091064453125","0.062255859375","Yes","63:0.002157471602580646;43:0.003956360858026947"
"57","62.29119122598784","72.95339197576574","0.02783203125","0.04541015625","0.01025390625","2280","0.0002799823913465168","32","0.0002799823913465168","0","0.0002799823913465168","0.0002799823913465168","47:68;67:68","47:0.0019397252518449093;67:0.002368492478177081","0.02783203125","0.005126953125","Yes","47:0.003138460982524627;67:0.005585029239377287"
"58","224.86685686166786","106.38259047125992","0.0068359375","0.0107421875","0.0029296875","2280","0.0002973728843617673","32","0.0002973728843617673","0","0.0002973728843617673","0.0002973728843617673","71:68;51:68","71:0.004391374388708624;51:0.0013783679875288002","0.0068359375","0.009033203125","Yes","71:0.0029577886151363475;51:0.002154961490771573"
"59","333.19249804872146","406.89256946325077","0.0126953125","0.01318359375","0.01220703125","2280","0.00023152002133498045","32","0.00023152002133498045","0","0.00023152002133498045","0.00023152002133498045","55:68;75:68","55:0.00585708038045854;75:0.003869309248421604","0.0126953125","0.013671875","Yes","55:0.0022360900213204415;75:0.004732938210390836"
"60","172.06797447081203","35.861600105187385","0.01220703125","0.017578125","0.0068359375","2280","0.00036106218085210363","32","0.00036106218085210363","0","0.00036106218085210363","0.00036106218085210363","61:68","61:0.002072129462868444","0.01220703125","0.007568359375","Yes","61:0.002770334137757291"
"61","136.16107984728336","44.92068332977434","0.0126953125","0.0146484375","0.0107421875","2280","0.00022090142343644215","32","0.00022090142343644215","0","0.00022090142343644215","0.00022090142343644215","76:68;60:68;62:68","76:0.002716181171322468;60:0.002072129462868444;62:0.0017132112012387957","0.0126953125","0.01318359375","Yes","76:0.0024767799622341657;60:0.002770334137757291;62:0.0018250456628521317"
"62","168.69677596531113","101.64363838955462","0.0068359375","0.01025390625","0.00341796875","2280","0.0002851309484631932","32","0.0002851309484631932","0","0.0002851309484631932","0.0002851309484631932","61:68;63:68","61:0.0017132112012387957;63:0.001878214457492977","0.0068359375","0.011474609375","Yes","61:0.0018250456628521317;63:0.0014676092314400146"
"63","306.5836075862916","64.84988879194097","0.013671875","0.01904296875","0.00830078125","2280","0.0002614887447980673","32","0.0002614887447980673","0","0.0002614887447980673","0.0002614887447980673","56:68;62:68;64:68","56:0.002398964661388142;62:0.001878214457492977;64:0.002229708607774189","0.013671875","0.050048828125","Yes","56:0.002157471602580646;62:0.0014676092314400146;64:0.0015963781714741498"
"64","181.8120492601598","119.81458334646612","0.009765625","0.0107421875","0.0087890625","2280","0.0003101943700751337","32","0.0003101943700751337","0","0.0003101943700751337","0.0003101943700751337","65:68;63:68","65:0.002258090981639177;63:0.002229708607774189","0.009765625","0.0078125","Yes","65:0.003028330696720677;63:0.0015963781714741498"
"65","201.17645333956605","185.85210273708637","0.012451171875","0.02197265625","0.0029296875","2280","0.0006082076864620901","32","0.0006082076864620901","0","0.0006082076864620901","0.0006082076864620901","64:68;66:68;77:68","64:0.002258090981639177;66:0.0021179698686654425;77:0.001960873632602944","0.012451171875","0.005126953125","Yes","64:0.003028330696720677;66:0.002137343953014764;77:0.0014686295316988784"
"66","119.56918837630465","157.03754223503637","0.014892578125","0.01708984375","0.0126953125","2280","0.00040432067327363574","32","0.00040432067327363574","0","0.00040432067327363574","0.00040432067327363574","65:68;67:68","65:0.0021179698686654425;67:0.0014597972699340878","0.014892578125","0.010498046875","Yes","65:0.002137343953014764;67:0.0013373427130929372"
"67","182.59816783468347","103.18981147318772","0.009765625","0.0146484375","0.0048828125","2280","0.00024484341961870845","32","0.00024484341961870845","0","0.00024484341961870845","0.00024484341961870845","68:68;57:68;66:68","68:0.0011579311826463434;57:0.002368492478177081;66:0.0014597972699340878","0.009765625","0.00537109375","Yes","68:0.0013072831317844369;57:0.005585029239377287;66:0.0013373427130929372"
"68","113.8345032269024","95.90736403031768","0.030029296875","0.0302734375","0.02978515625","2280","0.00012146286540956321","32","0.00012146286540956321","0","0.00012146286540956321","0.00012146286540956321","67:68;69:68","67:0.0011579311826463434;69:0.0011042540244058652","0.030029296875","0.0224609375","Yes","67:0.0013072831317844369;69:0.0014492992321634979"
"69","189.9637710709119","177.77547733233376","0.01708984375","0.025390625","0.0087890625","2280","0.00014821476677044334","32","0.00014821476677044334","0","0.00014821476677044334","0.00014821476677044334","78:68;68:68;70:68","78:0.0017187350033584237;68:0.0011042540244058652;70:0.0021939001112130097","0.01708984375","0.0107421875","Yes","78:0.005071833673305437;68:0.0014492992321634979;70:0.003849156197619358"
"70","146.0476902875248","107.95407207667596","0.016357421875","0.01953125","0.01318359375","2280","0.00017585636249193166","32","0.00017585636249193166","0","0.00017585636249193166","0.00017585636249193166","69:68;71:68","69:0.0021939001112130097;71:0.005135604611619271","0.016357421875","0.109130859375","Yes","69:0.003849156197619358;71:0.0016056529252135854"
"71","308.99587079173114","191.27736926367803","0.0185546875","0.01611328125","0.02099609375","2280","0.00029054517530162035","32","0.00029054517530162035","0","0.00029054517530162035","0.00029054517530162035","72:68;58:68;70:68","72:0.004932317025432009;58:0.004391374388708624;70:0.005135604611619271","0.0185546875","0.025634765625","Yes","72:0.0021861538010859993;58:0.0029577886151363475;70:0.0016056529252135854"
"72","254.66629059642628","117.55567856772674","0.05078125","0.03759765625","0.06396484375","2280","0.00021669705999240884","32","0.00021669705999240884","0","0.00021669705999240884","0.00021669705999240884","73:68;71:68","73:0.002128789893685562;71:0.004932317025432009","0.05078125","0.30224609375","Yes","73:0.0030213326879540425;71:0.0021861538010859993"
"73","173.10985369803888","67.71937370208572","0.041748046875","0.03173828125","0.0517578125","2280","0.00018437170336143852","32","0.00018437170336143852","0","0.00018437170336143852","0.00018437170336143852","72:68;74:68;79:68","72:0.002128789893685562;74:0.002547739797920723;79:0.0013865461622077913","0.041748046875","0.04736328125","Yes","72:0.0030213326879540425;74:0.0010213274908312808;79:0.0011600138071158062"
"74","187.54042295681387","120.37041635520808","0.0087890625","0.01171875","0.005859375","2280","0.00025241664785544344","32","0.00025241664785544344","0","0.00025241664785544344","0.00025241664785544344","73:68;75:68","73:0.002547739797920723;75:0.0018410707288428196","0.0087890625","0.0107421875","Yes","73:0.0010213274908312808;75:0.0014043132584080353"
"75","172.58629258968304","98.0374728951671","0.01806640625","0.01904296875","0.01708984375","2280","0.00015357485769040556","32","0.00015357485769040556","0","0.00015357485769040556","0.00015357485769040556","59:68;74:68","59:0.003869309248421604;74:0.0018410707288428196","0.01806640625","0.065673828125","Yes","59:0.004732938210390836;74:0.0014043132584080353"
